index, exposure (ty), pp, 7Be, 13N, 15O, pep, v capture
1491, 298.96139227845566, 0.08088579922987066, 0.48525717860087286, 9.969240207040041, 12.007995147091462, 15.674565325303591, 25.513432247995674
1492, 299.1612322464493, 0.08084888043142328, 0.48509325833884, 9.966376915087208, 12.004805834369098, 15.670435892823523, 25.50421306682057
1493, 299.36107221444286, 0.0808120047741924, 0.4849295040877126, 9.963516454560082, 12.001619607113284, 15.666310603662472, 25.495002662014706
1494, 299.5609121824365, 0.08077517217826059, 0.4847659155674786, 9.960658820674839, 11.998436460176553, 15.662189450602021, 25.48580102004585
1495, 299.76075215043005, 0.08073838256391254, 0.48460249249878634, 9.95780400865909, 11.995256388423622, 15.658072426441649, 25.476608127410632
1496, 299.9605921184237, 0.08070163585163431, 0.484439234602943, 9.95495201375184, 11.992079386731373, 15.653959523998676, 25.46742397063441
1497, 300.16043208641725, 0.0806649319621128, 0.4842761416019126, 9.95210283120345, 11.988905449988788, 15.649850736108212, 25.45824853627126
1498, 300.36027205441087, 0.08062827081623498, 0.4841132132183139, 9.949256456275604, 11.985734573096941, 15.6457460556231, 25.449081810903824
1499, 300.56011202240444, 0.08059165233508736, 0.48395044917541813, 9.946412884241287, 11.982566750968942, 15.641645475413842, 25.439923781143307
1500, 300.75995199039806, 0.08055507643995527, 0.4837878491971476, 9.943572110384725, 11.979401978529902, 15.637548988368577, 25.43077443362934
1501, 300.9597919583917, 0.0805185430523223, 0.48362541300807343, 9.940734130001367, 11.976240250716907, 15.63345658739298, 25.421633755029934
1502, 301.15963192638526, 0.08048205209386962, 0.4834631403334134, 9.937898938397854, 11.973081562478969, 15.62936826541024, 25.412501732041402
1503, 301.3594718943789, 0.08044560348647535, 0.4833010308990304, 9.935066530891971, 11.969925908776997, 15.625284015360991, 25.403378351388255
1504, 301.55931186237245, 0.08040919715221397, 0.48313908443142994, 9.932236902812624, 11.966773284583756, 15.621203830203264, 25.394263599823162
1505, 301.7591518303661, 0.08037283301335563, 0.4829773006577592, 9.929410049499797, 11.963623684883835, 15.617127702912414, 25.385157464126866
1506, 301.95899179835965, 0.0803365109923656, 0.4828156793058036, 9.926585966304529, 11.960477104673615, 15.613055626481081, 25.376059931108077
1507, 302.1588317663533, 0.08030023101190363, 0.4826542201039864, 9.923764648588866, 11.957333538961217, 15.608987593919139, 25.366970987603434
1508, 302.35867173434684, 0.08026399299482327, 0.4824929227813659, 9.920946091725844, 11.954192982766486, 15.604923598253615, 25.35789062047742
1509, 302.55851170234047, 0.08022779686417138, 0.4823317870676335, 9.91813029109944, 11.951055431120942, 15.600863632528657, 25.348818816622266
1510, 302.75835167033404, 0.08019164254318739, 0.4821708126931126, 9.915317242104548, 11.947920879067746, 15.59680768980549, 25.339755562957908
1511, 302.95819163832766, 0.08015552995530274, 0.4820099993887556, 9.91250694014694, 11.944789321661673, 15.592755763162321, 25.330700846431885
1512, 303.15803160632123, 0.08011945902414032, 0.4818493468861429, 9.90969938064324, 11.941660753969071, 15.588707845694325, 25.321654654019284
1513, 303.35787157431486, 0.08008342967351376, 0.4816888549174805, 9.906894559020879, 11.938535171067823, 15.584663930513567, 25.31261697272265
1514, 303.5577115423084, 0.08004744182742696, 0.48152852321559825, 9.904092470718078, 11.935412568047314, 15.580624010748966, 25.30358778957193
1515, 303.75755151030205, 0.08001149541007335, 0.48136835151394824, 9.9012931111838, 11.932292940008399, 15.576588079546225, 25.294567091624383
1516, 303.9573914782956, 0.0799755903458354, 0.4812083395466027, 9.89849647587773, 11.92917628206337, 15.572556130067788, 25.285554865964514
1517, 304.15723144628925, 0.07993972655928394, 0.48104848704825204, 9.895702560270228, 11.926062589335915, 15.568528155492784, 25.27655109970399
1518, 304.35707141428287, 0.07990390397517763, 0.48088879375420324, 9.892911359842312, 11.922951856961085, 15.564504149016972, 25.267555779981603
1519, 304.55691138227644, 0.07986812251846237, 0.48072925940037786, 9.890122870085612, 11.919844080085266, 15.560484103852701, 25.25856889396314
1520, 304.75675135027006, 0.07983238211427063, 0.4805698837233104, 9.88733708650235, 11.916739253866137, 15.556468013228834, 25.249590428841362
1521, 304.95659131826363, 0.07979668268792098, 0.4804106664601461, 9.8845540046053, 11.913637373472637, 15.552455870390713, 25.240620371835906
1522, 305.15643128625726, 0.07976102416491736, 0.48025160734863953, 9.881773619917755, 11.910538434084938, 15.54844766860011, 25.231658710193216
1523, 305.3562712542508, 0.07972540647094865, 0.4800927061271527, 9.878995927973504, 11.907442430894408, 15.544443401135164, 25.22270543118648
1524, 305.55611122224445, 0.079689829531888, 0.4799339625346527, 9.876220924316785, 11.904349359103565, 15.540443061290329, 25.21376052211554
1525, 305.755951190238, 0.07965429327379227, 0.47977537631071104, 9.873448604502274, 11.90125921392607, 15.536446642376339, 25.204823970306844
1526, 305.95579115823165, 0.07961879762290142, 0.4796169471955003, 9.870678964095031, 11.89817199058666, 15.532454137720125, 25.19589576311336
1527, 306.1556311262252, 0.07958334250563802, 0.4794586749297942, 9.86791199867049, 11.895087684321146, 15.528465540664815, 25.186975887914503
1528, 306.35547109421884, 0.0795479278486066, 0.47930055925496406, 9.865147703814408, 11.892006290376361, 15.524480844569627, 25.178064332116076
1529, 306.5553110622124, 0.0795125535785931, 0.479142599912978, 9.862386075122851, 11.888927804010137, 15.520500042809848, 25.169161083150208
1530, 306.75515103020604, 0.07947721962256435, 0.4789847966463991, 9.85962710820215, 11.885852220491259, 15.516523128776791, 25.160266128475236
1531, 306.9549909981996, 0.07944192590766741, 0.4788271491983836, 9.856870798668877, 11.882779535099445, 15.51255009587772, 25.151379455575707
1532, 307.15483096619323, 0.07940667236122911, 0.47866965731267863, 9.85411714214981, 11.87970974312531, 15.508580937535822, 25.142501051962228
1533, 307.3546709341868, 0.07937145891075542, 0.4785123207336214, 9.851366134281914, 11.876642839870332, 15.504615647190146, 25.133630905171483
1534, 307.5545109021804, 0.07933628548393089, 0.4783551392061363, 9.848617770712284, 11.873578820646818, 15.500654218295551, 25.124769002766087
1535, 307.754350870174, 0.07930115200861813, 0.4781981124757345, 9.845872047098146, 11.870517680777876, 15.496696644322672, 25.11591533233456
1536, 307.9541908381676, 0.07926605841285728, 0.478041240288511, 9.843128959106808, 11.867459415597374, 15.492742918757846, 25.107069881491245
1537, 308.15403080616124, 0.07923100462486532, 0.47788452239114376, 9.840388502415633, 11.864404020449921, 15.488793035103091, 25.098232637876254
1538, 308.3538707741548, 0.07919599057303572, 0.47772795853089145, 9.837650672712009, 11.861351490690826, 15.48484698687603, 25.089403589155378
1539, 308.55371074214844, 0.07916101618593774, 0.4775715484555922, 9.834915465693319, 11.85830182168607, 15.480904767609871, 25.08058272302002
1540, 308.753550710142, 0.07912608139231592, 0.47741529191366106, 9.832182877066916, 11.855255008812266, 15.47696637085333, 25.071770027187146
1541, 308.95339067813563, 0.07909118612108954, 0.4772591886540894, 9.829452902550083, 11.85221104745664, 15.473031790170594, 25.06296548939921
1542, 309.1532306461292, 0.07905633030135213, 0.4771032384264428, 9.826725537870013, 11.849169933016993, 15.46910101914129, 25.054169097424072
1543, 309.3530706141228, 0.07902151386237082, 0.4769474409808587, 9.824000778763777, 11.846131660901667, 15.465174051360403, 25.045380839054953
1544, 309.5529105821164, 0.07898673673358593, 0.47679179606804556, 9.821278620978285, 11.84309622652952, 15.461250880438266, 25.036600702110356
1545, 309.75275055011, 0.07895199884461032, 0.476636303439281, 9.818559060270273, 11.84006362532989, 15.457331500000471, 25.027828674433987
1546, 309.9525905181036, 0.07891730012522893, 0.47648096284641, 9.815842092406262, 11.837033852742564, 15.453415903687862, 25.01906474389472
1547, 310.1524304860972, 0.0788826405053982, 0.4763257740418431, 9.813127713162533, 11.83400690421775, 15.449504085156459, 25.0103088983865
1548, 310.3522704540908, 0.07884801991524557, 0.47617073677855526, 9.810415918325099, 11.830982775216047, 15.445596038077433, 25.001561125828292
1549, 310.5521104220844, 0.07881343828506894, 0.47601585081008324, 9.807706703689663, 11.827961461208407, 15.441691756137033, 24.99282141416401
1550, 310.751950390078, 0.07877889554533615, 0.4758611158905251, 9.805000065061616, 11.824942957676113, 15.437791233036565, 24.984089751362458
1551, 310.9517903580716, 0.07874439162668447, 0.4757065317745379, 9.802295998255984, 11.82192726011074, 15.433894462492326, 24.975366125417256
1552, 311.1516303260652, 0.07870992645992, 0.47555209821733624, 9.799594499097406, 11.818914364014141, 15.430001438235575, 24.966650524346786
